country,niche,product_name,competitor_price_local,landed_cost_local,target_price_local,monthly_searches,cpc_local,assumed_cvr,match_quality,competitor_source,supplier_source,score_total,gate,reason,economics_json,breakdown_json
NO,rechargeable hospitality/table lighting,"Modi rechargeable table lamp, red",1335.0,115.0,1228.2,950.0,5.8,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,80.33,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 1228.2, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 1842.3, ""net_revenue_ex_vat"": 1473.84, ""landed_cost_local"": 115.0, ""landed_cost_order_local"": 172.5, ""payment_fee_local"": 46.06, ""expected_returns_loss_local"": 38.69, ""support_allowance_local"": 27.63, ""pre_ad_contribution_local"": 1188.96, ""expected_cpa_local"": 223.08, ""contribution_after_ads_local"": 965.88, ""break_even_cvr"": 0.00488, ""break_even_roas"": 1.55, ""expected_roas"": 8.259, ""contribution_margin_after_ads"": 0.5243}","{""total"": 80.33, ""economics"": 35.0, ""demand"": 8.93, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,architectural/kitchen hardware,Conti cup handle,67.0,15.0,61.64,430.0,2.2,0.03,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,80.32,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 61.64, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 493.12, ""net_revenue_ex_vat"": 394.5, ""landed_cost_local"": 15.0, ""landed_cost_order_local"": 120.0, ""payment_fee_local"": 12.33, ""expected_returns_loss_local"": 10.36, ""support_allowance_local"": 7.4, ""pre_ad_contribution_local"": 244.42, ""expected_cpa_local"": 73.33, ""contribution_after_ads_local"": 171.08, ""break_even_cvr"": 0.009, ""break_even_roas"": 2.018, ""expected_roas"": 6.724, ""contribution_margin_after_ads"": 0.3469}","{""total"": 80.32, ""economics"": 35.0, ""demand"": 7.9, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 7.65, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
NO,rechargeable hospitality/table lighting,"Hygge rechargeable table lamp, antique",1099.0,109.0,1011.08,850.0,5.68,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,80.19,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 1011.08, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 1516.62, ""net_revenue_ex_vat"": 1213.3, ""landed_cost_local"": 109.0, ""landed_cost_order_local"": 163.5, ""payment_fee_local"": 37.92, ""expected_returns_loss_local"": 31.85, ""support_allowance_local"": 22.75, ""pre_ad_contribution_local"": 957.28, ""expected_cpa_local"": 218.46, ""contribution_after_ads_local"": 738.82, ""break_even_cvr"": 0.00593, ""break_even_roas"": 1.584, ""expected_roas"": 6.942, ""contribution_margin_after_ads"": 0.4871}","{""total"": 80.19, ""economics"": 35.0, ""demand"": 8.79, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,restaurant/hospitality display hardware,Securit MICHELLE black table lamp with board,495.2,30.0,455.58,220.0,2.1,0.028,category/near-match only,https://www.grafical.dk/menuholder/,https://www.alibaba.com/wholesale/acrylic-menu-stand.html,80.16,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 455.58, ""expected_units_per_order"": 4.0, ""order_revenue_local"": 1822.32, ""net_revenue_ex_vat"": 1457.86, ""landed_cost_local"": 30.0, ""landed_cost_order_local"": 120.0, ""payment_fee_local"": 45.56, ""expected_returns_loss_local"": 38.27, ""support_allowance_local"": 27.33, ""pre_ad_contribution_local"": 1226.69, ""expected_cpa_local"": 75.0, ""contribution_after_ads_local"": 1151.69, ""break_even_cvr"": 0.00171, ""break_even_roas"": 1.486, ""expected_roas"": 24.298, ""contribution_margin_after_ads"": 0.632}","{""total"": 80.16, ""economics"": 35.0, ""demand"": 7.03, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.75, ""localization"": 7.65, ""operations"": 3.5, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Sirius Tim rechargeable table lamp, white 22 cm",459.0,83.0,422.28,1200.0,3.7600000000000002,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,80.14,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 422.28, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 633.42, ""net_revenue_ex_vat"": 506.74, ""landed_cost_local"": 83.0, ""landed_cost_order_local"": 124.5, ""payment_fee_local"": 15.84, ""expected_returns_loss_local"": 13.3, ""support_allowance_local"": 9.5, ""pre_ad_contribution_local"": 343.6, ""expected_cpa_local"": 144.62, ""contribution_after_ads_local"": 198.98, ""break_even_cvr"": 0.01094, ""break_even_roas"": 1.843, ""expected_roas"": 4.38, ""contribution_margin_after_ads"": 0.3141}","{""total"": 80.14, ""economics"": 35.0, ""demand"": 9.24, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,architectural/kitchen hardware,Siena kitchen handle,55.0,12.0,50.6,350.0,2.1,0.03,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,80.05,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 50.6, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 404.8, ""net_revenue_ex_vat"": 323.84, ""landed_cost_local"": 12.0, ""landed_cost_order_local"": 96.0, ""payment_fee_local"": 10.12, ""expected_returns_loss_local"": 8.5, ""support_allowance_local"": 6.07, ""pre_ad_contribution_local"": 203.15, ""expected_cpa_local"": 70.0, ""contribution_after_ads_local"": 133.15, ""break_even_cvr"": 0.01034, ""break_even_roas"": 1.993, ""expected_roas"": 5.783, ""contribution_margin_after_ads"": 0.3289}","{""total"": 80.05, ""economics"": 35.0, ""demand"": 7.63, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 7.65, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,restaurant/hospitality display hardware,Nobo A4 sign frame on stand,735.2,20.0,676.38,170.0,1.95,0.028,category/near-match only,https://www.grafical.dk/menuholder/,https://www.alibaba.com/wholesale/acrylic-menu-stand.html,79.83,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 676.38, ""expected_units_per_order"": 4.0, ""order_revenue_local"": 2705.52, ""net_revenue_ex_vat"": 2164.42, ""landed_cost_local"": 20.0, ""landed_cost_order_local"": 80.0, ""payment_fee_local"": 67.64, ""expected_returns_loss_local"": 56.82, ""support_allowance_local"": 40.58, ""pre_ad_contribution_local"": 1919.38, ""expected_cpa_local"": 69.64, ""contribution_after_ads_local"": 1849.74, ""break_even_cvr"": 0.00102, ""break_even_roas"": 1.41, ""expected_roas"": 38.848, ""contribution_margin_after_ads"": 0.6837}","{""total"": 79.83, ""economics"": 35.0, ""demand"": 6.69, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.75, ""localization"": 7.65, ""operations"": 3.5, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
NO,acoustic/slat wall panels,Opus acoustic panel 600x2400 light,1299.0,246.0,1195.08,1000.0,6.4,0.024,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,79.77,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 1195.08, ""expected_units_per_order"": 3.0, ""order_revenue_local"": 3585.24, ""net_revenue_ex_vat"": 2868.19, ""landed_cost_local"": 246.0, ""landed_cost_order_local"": 738.0, ""payment_fee_local"": 89.63, ""expected_returns_loss_local"": 75.29, ""support_allowance_local"": 53.78, ""pre_ad_contribution_local"": 1911.49, ""expected_cpa_local"": 266.67, ""contribution_after_ads_local"": 1644.83, ""break_even_cvr"": 0.00335, ""break_even_roas"": 1.876, ""expected_roas"": 13.445, ""contribution_margin_after_ads"": 0.4588}","{""total"": 79.77, ""economics"": 35.0, ""demand"": 9.0, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 1.39, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"3W rechargeable LED table lamp, brown, 4000mAh",454.0,71.0,417.68,900.0,3.52,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,79.76,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 417.68, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 626.52, ""net_revenue_ex_vat"": 501.22, ""landed_cost_local"": 71.0, ""landed_cost_order_local"": 106.5, ""payment_fee_local"": 15.66, ""expected_returns_loss_local"": 13.16, ""support_allowance_local"": 9.4, ""pre_ad_contribution_local"": 356.5, ""expected_cpa_local"": 135.38, ""contribution_after_ads_local"": 221.11, ""break_even_cvr"": 0.00987, ""break_even_roas"": 1.757, ""expected_roas"": 4.628, ""contribution_margin_after_ads"": 0.3529}","{""total"": 79.76, ""economics"": 35.0, ""demand"": 8.86, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,rechargeable hospitality/table lighting,"Frida rechargeable table lamp, beige",600.0,97.0,552.0,650.0,5.44,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,79.7,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 552.0, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 828.0, ""net_revenue_ex_vat"": 662.4, ""landed_cost_local"": 97.0, ""landed_cost_order_local"": 145.5, ""payment_fee_local"": 20.7, ""expected_returns_loss_local"": 17.39, ""support_allowance_local"": 12.42, ""pre_ad_contribution_local"": 466.39, ""expected_cpa_local"": 209.23, ""contribution_after_ads_local"": 257.16, ""break_even_cvr"": 0.01166, ""break_even_roas"": 1.775, ""expected_roas"": 3.957, ""contribution_margin_after_ads"": 0.3106}","{""total"": 79.7, ""economics"": 34.86, ""demand"": 8.44, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Kave Home Arenys rechargeable table lamp, turquoise",799.0,67.0,735.08,800.0,3.4400000000000004,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,79.61,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 735.08, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 1102.62, ""net_revenue_ex_vat"": 882.1, ""landed_cost_local"": 67.0, ""landed_cost_order_local"": 100.5, ""payment_fee_local"": 27.57, ""expected_returns_loss_local"": 23.16, ""support_allowance_local"": 16.54, ""pre_ad_contribution_local"": 714.34, ""expected_cpa_local"": 132.31, ""contribution_after_ads_local"": 582.03, ""break_even_cvr"": 0.00482, ""break_even_roas"": 1.544, ""expected_roas"": 8.334, ""contribution_margin_after_ads"": 0.5279}","{""total"": 79.61, ""economics"": 35.0, ""demand"": 8.71, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,acoustic/slat wall panels,Lind acoustic panel 2390x600x19 oak,1999.0,228.0,1839.08,850.0,6.2,0.024,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,79.56,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 1839.08, ""expected_units_per_order"": 3.0, ""order_revenue_local"": 5517.24, ""net_revenue_ex_vat"": 4413.79, ""landed_cost_local"": 228.0, ""landed_cost_order_local"": 684.0, ""payment_fee_local"": 137.93, ""expected_returns_loss_local"": 115.86, ""support_allowance_local"": 82.76, ""pre_ad_contribution_local"": 3393.24, ""expected_cpa_local"": 258.33, ""contribution_after_ads_local"": 3134.91, ""break_even_cvr"": 0.00183, ""break_even_roas"": 1.626, ""expected_roas"": 21.357, ""contribution_margin_after_ads"": 0.5682}","{""total"": 79.56, ""economics"": 35.0, ""demand"": 8.79, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 1.39, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,restaurant/hospitality display hardware,Securit Y-shaped A6 clear acrylic menu holder,95.2,10.0,87.58,120.0,1.8,0.028,category/near-match only,https://www.grafical.dk/menuholder/,https://www.alibaba.com/wholesale/acrylic-menu-stand.html,79.37,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 87.58, ""expected_units_per_order"": 4.0, ""order_revenue_local"": 350.32, ""net_revenue_ex_vat"": 280.26, ""landed_cost_local"": 10.0, ""landed_cost_order_local"": 40.0, ""payment_fee_local"": 8.76, ""expected_returns_loss_local"": 7.36, ""support_allowance_local"": 5.25, ""pre_ad_contribution_local"": 218.89, ""expected_cpa_local"": 64.29, ""contribution_after_ads_local"": 154.6, ""break_even_cvr"": 0.00822, ""break_even_roas"": 1.6, ""expected_roas"": 5.449, ""contribution_margin_after_ads"": 0.4413}","{""total"": 79.37, ""economics"": 35.0, ""demand"": 6.24, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.75, ""localization"": 7.65, ""operations"": 3.5, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
