rank,slug,name,total,verdict,price_mid,cogs_mid,gross_margin_pct,evidence_count,reasons,risks
11,christmas-table-pack,AI Personalized Christmas Table Pack,87.39,BUILD,54.0,14.5,73.1,4,q4 multiplier 100/100; ai effort removed 99/100; saturation gap 96/100; shareability 95/100; giftability 91/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 73% before fees/ads,table facts/jokes need buyer approval
12,snail-mail-letter-capsule,Personalized Letter Capsule / Future Mail Gift,87.31,BUILD,39.0,10.0,74.4,3,"giftability 98/100; ai effort removed 93/100; saturation gap 93/100; q4 multiplier 91/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 74% before fees/ads","AI should draft from user facts, not impersonate a real person deceptively"
13,group-love-book,Group-contribution “Why We Love You” Book,87.1,BUILD,84.0,27.0,67.9,4,"giftability 100/100; ai effort removed 96/100; shareability 95/100; saturation gap 91/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 68% before fees/ads",
14,pet-christmas-newspaper,Pet Christmas Newspaper,86.64,BUILD,34.5,9.0,73.9,3,shareability 100/100; q4 multiplier 98/100; saturation gap 98/100; ai effort removed 97/100; giftability 97/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 74% before fees/ads,
15,pet-yearbook,Pet Yearbook / “If My Pet Could Talk” Book,86.38,BUILD,49.0,17.0,65.3,3,giftability 98/100; shareability 98/100; ai effort removed 94/100; q4 multiplier 91/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 65% before fees/ads,
16,handwritten-recipe-heirloom,Handwritten Recipe Heirloom Bundle,86.26,BUILD,56.5,17.0,69.9,4,giftability 100/100; demand proof 96/100; q4 multiplier 95/100; shareability 90/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 70% before fees/ads,OCR/transcription must be manually checked; preserve original handwriting
17,personalized-cracker-kit,Personalized Christmas Crackers: AI Inserts,86.09,BUILD,31.5,8.5,73.0,4,q4 multiplier 100/100; ai effort removed 96/100; shareability 96/100; giftability 94/100; saturation gap 94/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 73% before fees/ads,physical cracker rules/shipping vary; inserts are easiest MVP
18,family-mystery-game,Custom Family Mystery / Scavenger Hunt,85.31,BUILD,32.0,6.5,79.7,3,ai effort removed 99/100; q4 multiplier 98/100; shareability 98/100; saturation gap 97/100; gross margin 95/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 80% before fees/ads,age/safety appropriate clues; avoid instructions involving unsafe locations
19,personalized-client-gift-report,B2B Client “Year Together” Book,85.18,BUILD,299.0,50.0,83.3,2,"q4 multiplier 100/100; ai effort removed 100/100; repeatability 100/100; recurring graph 100/100; saturation gap 100/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 83% before fees/ads",confidential client data; require authorization and private processing
20,family-recipe-book,AI Family Recipe Restoration Book,85.06,BUILD,104.0,30.5,70.7,3,giftability 100/100; ai effort removed 99/100; q4 multiplier 92/100; demand proof 91/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 71% before fees/ads,ingredient quantities/instructions must never be silently “corrected”; user validates transcription
21,custom-playing-card-stories,52 Memories Playing Card Deck,84.85,BUILD,44.0,13.0,70.5,3,giftability 96/100; q4 multiplier 92/100; ai effort removed 91/100; shareability 91/100; demand proof 89/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 70% before fees/ads,
22,custom-crossword-memories,Personalized Memory Crossword Gift,84.79,BUILD,30.5,7.5,75.4,2,ai effort removed 98/100; gross margin 95/100; fulfillment fit 95/100; giftability 91/100; saturation gap 89/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 75% before fees/ads,must test crossword validity and uniqueness
23,grandparent-legacy-book,Grandparent Legacy Interview Book,84.7,BUILD,139.0,33.0,76.3,3,"ai effort removed 100/100; giftability 100/100; saturation gap 97/100; q4 multiplier 89/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 76% before fees/ads",sensitive family histories require review and privacy controls; transcription accuracy
24,personalized-gift-reveal,AI Gift Reveal / Scavenger Pack,84.61,BUILD,13.0,1.65,87.3,2,q4 multiplier 100/100; fulfillment fit 100/100; ai effort removed 99/100; saturation gap 99/100; gross margin 98/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 87% before fees/ads,
25,personalized-2027-journal,2027 Personalized Reflection Journal,84.0,BUILD,49.0,14.0,71.4,3,repeatability 100/100; q4 multiplier 98/100; ai effort removed 93/100; giftability 89/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 71% before fees/ads,avoid mental-health/medical claims; goal advice should remain general
26,numerology-year-book,2027 Personal Year Numerology Book,83.47,BUILD,49.0,13.5,72.4,3,repeatability 100/100; q4 multiplier 96/100; ai effort removed 94/100; personalization demand 88/100; gross margin 85/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 72% before fees/ads,entertainment/interpretive framing; avoid deterministic life/health/finance claims
27,photo-coloring-book,Photo-to-Christmas Coloring Book,83.22,BUILD,28.5,8.5,70.2,3,ai effort removed 95/100; q4 multiplier 93/100; shareability 92/100; giftability 90/100; saturation gap 89/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 70% before fees/ads,image-generation consistency and recognizability
28,voice-qr-keepsake,Voice / QR Memory Keepsake,83.13,BUILD,39.0,11.5,70.5,3,giftability 98/100; shareability 94/100; q4 multiplier 90/100; demand proof 88/100; personalization demand 88/100; strong holiday/occasion multiplier; illustrative gross margin 71% before fees/ads,secure voice storage and deletion controls; QR destination must remain stable; do not use copyrighted songs without rights
29,retirement-career-book,Career / Retirement Tribute Book,82.96,BUILD,164.0,36.5,77.7,2,ai effort removed 100/100; giftability 100/100; shareability 96/100; saturation gap 96/100; personalization demand 88/100; AI removes substantial customer/design labour; illustrative gross margin 78% before fees/ads,
30,new-home-memory-ornament,First Christmas in Our Home+ Ornament,82.7,BUILD,29.0,9.0,69.0,3,q4 multiplier 100/100; giftability 97/100; demand proof 95/100; personalization demand 88/100; ai effort removed 82/100; strong holiday/occasion multiplier; illustrative gross margin 69% before fees/ads,saturated base category; address privacy
31,couples-comic,Couple Story / Comic from Photos,82.49,BUILD,69.0,22.0,68.1,2,ai effort removed 98/100; giftability 98/100; shareability 96/100; personalization demand 88/100; q4 multiplier 87/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 68% before fees/ads,avoid requesting copyrighted artist/franchise styles; consistency is critical
32,office-secret-santa-magazine,AI Office / Team Awards Magazine,82.33,BUILD,239.0,55.0,77.0,2,ai effort removed 100/100; shareability 99/100; q4 multiplier 98/100; saturation gap 98/100; giftability 89/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 77% before fees/ads,employer approval; avoid discriminatory/sexual/harassing jokes
33,birth-year-newspaper-puzzle,Birth-Year Newspaper + Personalized Puzzle,81.77,BUILD,34.0,9.5,72.1,2,giftability 94/100; ai effort removed 92/100; personalization demand 88/100; q4 multiplier 88/100; gross margin 87/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 72% before fees/ads,historical facts need sourced/verified data; no invented headlines
34,custom-memory-boardgame,Premium Custom Family Board Game,80.88,BUILD,124.0,41.0,66.9,2,giftability 100/100; ai effort removed 99/100; q4 multiplier 96/100; demand proof 88/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 67% before fees/ads,do not imitate Monopoly/Guess Who/UNO trademarks/trade dress; complex physical fulfillment
35,realtor-closing-book,AI New-Home Closing Memory Book,80.45,BUILD,104.0,26.0,75.0,2,"repeatability 100/100; saturation gap 99/100; ai effort removed 96/100; giftability 94/100; personalization demand 88/100; AI removes substantial customer/design labour; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 75% before fees/ads",property/recipient privacy; agent must have rights to listing photos
36,personalized-santa-letter,Premium Santa Letter + Family Lore,80.31,BUILD,25.5,6.0,76.5,2,q4 multiplier 100/100; giftability 92/100; ai effort removed 91/100; gross margin 91/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 76% before fees/ads,children’s data: collect minimum necessary; never infer behavior/sensitive traits; clearly parent-authored entertainment workflow
37,personalized-corporate-crackers,Corporate Personalized Crackers / Table Awards,79.13,BUILD,574.0,167.5,70.8,2,q4 multiplier 100/100; ai effort removed 100/100; saturation gap 100/100; shareability 98/100; giftability 90/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 71% before fees/ads,workplace content moderation essential; physical cracker logistics/compliance
38,wedding-guest-newspaper,One-click Wedding Guest Newspaper,78.59,TEST,124.0,32.5,73.8,3,ai effort removed 99/100; demand proof 88/100; personalization demand 88/100; giftability 85/100; saturation gap 84/100; AI removes substantial customer/design labour; illustrative gross margin 74% before fees/ads,
39,star-map-nextgen,Next-gen Date+Place Memory Map,78.56,TEST,46.5,12.5,73.1,2,demand proof 98/100; giftability 95/100; personalization demand 88/100; gross margin 83/100; q4 multiplier 82/100; illustrative gross margin 73% before fees/ads,base star-map market is heavily saturated; astronomical/weather facts must be sourced
40,personalized-memorial-book,Memorial Memory Book from Group Contributions,76.09,TEST,164.0,36.5,77.7,2,ai effort removed 100/100; giftability 96/100; saturation gap 96/100; personalization demand 88/100; gross margin 82/100; AI removes substantial customer/design labour; illustrative gross margin 78% before fees/ads,high sensitivity; require human review and restrained language; do not fabricate voice/text from deceased person
