slug,name,archetype,description,q4_window,moat,first_test,price_low,price_high,cogs_low,cogs_high,marketplaces,evidence_keys,demand_proof,personalization_demand,q4_multiplier,ai_effort_removed,giftability,gross_margin,fulfillment_fit,shareability,repeatability,cross_marketplace,recurring_graph,saturation_gap,ip_risk,privacy_risk,support_burden,quality_risk,risks
custom-crossword-memories,Personalized Memory Crossword Gift,people_to_game,"Buyer answers 10–30 prompts; AI turns names, places, memories and inside jokes into a solvable crossword with bespoke clues.",Sep 15–Dec 24; digital variants extend to Dec 24,Fully automatic puzzle generation is materially easier than Canva-template incumbents.,Instant preview: show 5 generated clues before checkout.,12,49,1,14,Etsy; Shopify,etsy_crossword; etsy_10k,79,88,88,98,91,95,95,88,60,82,50,89,10,20,30,20,must test crossword validity and uniqueness
photo-coloring-book,Photo-to-Christmas Coloring Book,memory_to_artifact,Upload family/pet photos; AI converts them into consistent printable coloring pages and assembles a personalized book.,Sep 15–Dec 24; digital variants extend to Dec 24,Instant transformation + local print; recurring kids/family editions.,Christmas family edition and pet edition.,18,39,5,12,Etsy; Shopify,etsy_coloring; lulu_personalized; gelato_books,76,88,93,95,90,86,80,92,60,82,50,89,10,20,30,30,image-generation consistency and recognizability
pet-yearbook,Pet Yearbook / “If My Pet Could Talk” Book,memory_to_artifact,"Photos + anecdotes become a funny pet yearbook, story or mock interview.",Sep 15–Dec 24; digital variants extend to Dec 24,Emotionally strong and easy UGC; repeat annually or per pet.,“Dog’s 2026 Annual Review” and “If My Dog Wrote Mum a Christmas Book”.,29,69,10,24,Etsy; Shopify,etsy_storybooks; etsy_magazine; lulu_personalized,87,88,91,94,98,78,80,98,82,82,50,83,10,10,30,20,
couples-comic,Couple Story / Comic from Photos,memory_to_artifact,Convert a relationship timeline and photos into a short illustrated comic/storybook.,Sep 15–Dec 24; digital variants extend to Dec 24,High perceived human labor; anniversary/Valentine/Christmas all work.,8-page premium mini-comic before 30-page products.,39,99,12,32,Etsy; Shopify,etsy_storybooks; lulu_personalized,78,88,87,98,98,78,80,96,60,82,50,84,18,20,30,42,avoid requesting copyrighted artist/franchise styles; consistency is critical
annual-advent-refill,Personalized Reusable Advent Calendar Refill,occasion_bundle,"Rather than selling a bulky calendar, sell 24 personalized activity/memory/joke/QR cards that refill an existing calendar every year.",Sep 15–Dec 24; digital variants extend to Dec 24,Annual repeat is built in and avoids shipping bulky wooden calendars.,“24 family moments” + “24 kids activities” + “24 couple dates”.,15,39,2,8,Etsy; Shopify,etsy_advent; etsy_winter; pinterest_holiday,85,88,100,94,90,92,80,78,100,82,88,94,10,20,30,20,must ship early; digital fallback after physical cutoff
snail-mail-letter-capsule,Personalized Letter Capsule / Future Mail Gift,memory_to_artifact,"Turn a few prompts into a beautiful authored letter set: “open when…”, future-self letters, couple letters, family time-capsule letters.",Sep 15–Dec 24; digital variants extend to Dec 24,Pinterest 2026 snail-mail trend + scheduled future delivery creates a reminder graph.,“12 letters for 2027” gift box and “Open when…” couple edition.,19,59,4,16,Etsy; Shopify,pinterest_penpals; etsy_10k; moonpig_graph,78,88,91,93,98,88,80,88,82,82,85,93,10,20,30,20,"AI should draft from user facts, not impersonate a real person deceptively"
custom-playing-card-stories,52 Memories Playing Card Deck,memory_to_artifact,"Each card becomes a photo, memory, fact, dare or prompt instead of merely repeating one photo on the deck.",Sep 15–Dec 24; digital variants extend to Dec 24,Transforms a commodity custom deck into a narrative artifact.,52 reasons/memories version first; display 6-card live preview.,29,59,8,18,Etsy; Shopify,etsy_playing_cards; prodigi_api; etsy_10k,89,88,92,91,96,81,80,91,60,82,50,85,10,20,30,20,
family-mystery-game,Custom Family Mystery / Scavenger Hunt,people_to_game,"Generate a family-safe mystery, clue hunt or Christmas-morning scavenger game using names, rooms and inside jokes.",Sep 15–Dec 24; digital variants extend to Dec 24,AI makes bespoke game-writing near-zero marginal cost.,Christmas morning “find the big present” hunt at $9–19 digital.,15,49,1,12,Etsy; Shopify,etsy_boardgame; etsy_crossword; etsy_family_gifts,73,88,98,99,92,95,80,98,60,82,50,97,10,20,33,20,age/safety appropriate clues; avoid instructions involving unsafe locations
grandparent-legacy-book,Grandparent Legacy Interview Book,memory_to_artifact,Guided voice/text interview with a grandparent becomes a polished family history book with photos and timelines.,Sep 15–Dec 24; digital variants extend to Dec 24,"High-ticket because outcome is an irreplaceable family archive, not “a book”.",Sell interview gift voucher first; fulfillment can occur after Christmas.,79,199,18,48,Etsy; Shopify,lulu_personalized; etsy_10k; etsy_family_gifts,79,88,89,100,100,76,80,78,60,82,78,97,10,45,42,20,sensitive family histories require review and privacy controls; transcription accuracy
family-recipe-book,AI Family Recipe Restoration Book,data_to_keepsake,"Upload photographed handwritten recipes; transcribe, normalize, preserve original scans and create a coherent family cookbook.",Sep 15–Dec 24; digital variants extend to Dec 24,High perceived archival labor; easy expansion from proven recipe-towel demand.,10-recipe starter book; upsell full 30–60 recipe archive.,59,149,16,45,Etsy; Shopify,etsy_recipe; lulu_personalized; etsy_winter,91,88,92,99,100,78,80,78,60,82,50,88,10,20,42,40,ingredient quantities/instructions must never be silently “corrected”; user validates transcription
new-home-memory-ornament,First Christmas in Our Home+ Ornament,data_to_keepsake,House photo becomes tasteful illustration plus address/coordinates/date and optional QR to a mini move-in story.,Sep 15–Dec 24; digital variants extend to Dec 24,Needs narrative/QR/occasion graph layer to escape commodity watercolor ornament.,Do not launch as plain photo→watercolor; bundle first-home timeline/QR memory.,19,39,5,13,Etsy; Shopify,etsy_house_ornament; etsy_starmap; etsy_10k,95,88,100,82,97,82,80,78,60,82,50,52,10,28,30,20,saturated base category; address privacy
birth-year-newspaper-puzzle,Birth-Year Newspaper + Personalized Puzzle,people_to_game,Turn recipient birth-year context plus user-supplied memories into a newspaper-style puzzle/crossword gift.,Sep 15–Dec 24; digital variants extend to Dec 24,Combines two proven formats and makes clues personal.,"Milestone 40/50/60/70 birthdays, then Christmas grandparents.",19,49,4,15,Etsy; Shopify,etsy_newspaper; etsy_crossword,83,88,88,92,94,87,80,78,60,82,50,82,10,20,30,35,historical facts need sourced/verified data; no invented headlines
office-secret-santa-magazine,AI Office / Team Awards Magazine,memory_to_artifact,"Team submits nominations, photos and jokes; AI creates a tasteful “yearbook/awards” magazine for Christmas parties or remote teams.",Sep 15–Dec 24; digital variants extend to Dec 24,B2B price anchor makes $100–$400 trivial relative to team event budget.,Outbound to 20–100 person agencies/startups; sell fixed “team pack” pricing.,79,399,20,90,Shopify; Direct B2B,etsy_magazine; prodigi_api,70,88,98,100,89,85,80,99,60,65,50,98,10,35,42,20,employer approval; avoid discriminatory/sexual/harassing jokes
realtor-closing-book,AI New-Home Closing Memory Book,memory_to_artifact,Agent uploads listing photos + buyer names; create a premium “Our First Home” closing book/mini-magazine with blank pages for memories.,Evergreen; Q4 closing/gifting uplift,B2B recurring orders; $50–$100 gift is small vs real-estate commission.,White-label sample for 50 estate agents/realtors.,59,149,14,38,Shopify; Direct B2B,etsy_house_ornament; lulu_personalized,72,88,55,96,94,80,80,78,100,55,80,99,10,20,30,20,property/recipient privacy; agent must have rights to listing photos
wedding-guest-newspaper,One-click Wedding Guest Newspaper,occasion_bundle,"Couple completes a structured form; AI creates a wedding newspaper with timeline, guest games, crossword, local tips and story.",Evergreen wedding season; giftable Q4 proposals/engagements,Turns dozens of manual Canva hours into a 10-minute form.,Fixed 4-page and 8-page packages; proof generated immediately.,49,199,10,55,Etsy; Shopify,etsy_newspaper; etsy_crossword; prodigi_api,88,88,55,99,85,82,80,78,40,82,50,84,10,20,45,20,
personalized-santa-letter,Premium Santa Letter + Family Lore,profile_to_report,"A beautifully printed Santa letter grounded only in parent-provided facts, plus optional “North Pole file” and nice-list certificate.",Sep 15–Dec 24; digital variants extend to Dec 24,"Could be a CAC product feeding family occasion graph, not a standalone moat.",Local mail fulfillment + digital emergency version.,12,39,2,10,Etsy; Shopify,pinterest_penpals; etsy_10k,73,88,100,91,92,91,80,78,60,82,50,64,10,55,30,20,children’s data: collect minimum necessary; never infer behavior/sensitive traits; clearly parent-authored entertainment workflow
family-ornament-story,QR Story Ornament,data_to_keepsake,"A personalized ornament that scans to a private micro-page containing that year’s photo, 100-word story and optional voice note.",Sep 15–Dec 24; digital variants extend to Dec 24,Annual physical token + compounding private family archive.,First Christmas / baby / pet / family editions.,24,49,6,15,Etsy; Shopify,etsy_house_ornament; etsy_soundwave; etsy_family_gifts,93,88,100,84,98,82,80,78,100,82,100,80,10,35,30,20,stable/private QR hosting required
year-in-12-cards,12 Months of Us Card Set,memory_to_artifact,AI selects one memory per month and creates 12 mini cards/postcards that can be opened monthly in 2027.,Sep 15–Dec 24; digital variants extend to Dec 24,Extends gift experience across next year and builds repeat behavior.,Couples + grandparents versions; 12-card physical set.,24,59,5,18,Etsy; Shopify,pinterest_penpals; prodigi_api; etsy_10k,74,88,94,96,99,86,80,78,94,82,90,97,10,20,30,20,
personalized-gift-reveal,AI Gift Reveal / Scavenger Pack,people_to_game,"Turn an otherwise boring voucher/large present into a personalized series of clues, mini-puzzles and reveal card.",Sep 15–Dec 24; digital variants extend to Dec 24,Near-zero COGS digital Q4 impulse; excellent cross-sell for other gifts.,SEO/ads around “how to reveal surprise Christmas gift” and marketplace listings.,7,19,0.3,3,Etsy; Shopify,etsy_crossword; pinterest_holiday,65,88,100,99,93,98,100,78,60,82,50,99,10,20,30,20,
personalized-2027-journal,2027 Personalized Reflection Journal,profile_to_report,"A person-specific annual journal using goals/interests, optional astrology/numerology structure, milestones and custom prompts.",Sep 15–Dec 24; digital variants extend to Dec 24,Annual renewal with saved preferences.,Sell between Black Friday and Jan 10; personalized sample pages pre-purchase.,29,69,8,20,Etsy; Shopify,etsy_yearly_astrology; etsy_numerology_2026; lulu_personalized,76,88,98,93,89,83,80,78,100,82,50,87,10,30,30,20,avoid mental-health/medical claims; goal advice should remain general
family-photo-calendar-ai,AI-curated Family Calendar,memory_to_artifact,"Upload a large photo batch; AI chooses best person/month combinations, birthdays and captions automatically.",Sep 15–Dec 24; digital variants extend to Dec 24,Recurring annual product + occasion dates become reminder graph.,"“Done in 3 minutes” landing page is the wedge, not calendar aesthetics.",24,49,7,16,Etsy; Shopify,chatbooks_smart; etsy_10k; prodigi_api,84,88,100,98,94,79,80,78,100,82,100,73,10,35,30,20,
memory-card-moonpig,AI Memory Card / Mini-Book Card,memory_to_artifact,"Instead of one photo and a typed greeting, upload a batch and receive a finished 4–12 page card/mini-book with AI-selected memories and captions.",Sep 15–Dec 24; digital variants extend to Dec 24,This is the Moonpig wedge: cards acquire recipient/occasion data; later gifts monetize it.,Do not undercut £3.99. Charge £7.99–£12.99 for dramatically better one-click memory artifact.,8,19,2,6,Etsy; Shopify,moonpig_fy26; moonpig_graph; chatbooks_smart; prodigi_api,100,88,93,99,96,73,80,78,100,82,100,95,10,35,30,20,
memory-card-plus-gift,Memory Card + Personalized Gift Attach,occasion_bundle,"A finished AI memory card triggers a context-matched attach: recipe towel, ornament, photo deck, book or voice keepsake.",Sep 15–Dec 24; digital variants extend to Dec 24,"Card is cheap customer acquisition; personalized gift attachment drives AOV, mirroring Moonpig’s proven economics but with richer creation.","Start with 3 attach products only: ornament, photo deck, mini-book.",29,89,8,28,Etsy; Shopify,moonpig_fy26; moonpig_graph; etsy_family_gifts; printify_personalization,94,88,95,94,99,77,80,78,100,82,100,90,10,20,30,20,
pet-christmas-newspaper,Pet Christmas Newspaper,memory_to_artifact,"A mock newspaper entirely about the pet: “Dog of the Year”, interviews, stats, scandals, favorite walks.",Sep 15–Dec 24; digital variants extend to Dec 24,Easy social creative and lower privacy friction than human products.,TikTok/Meta UGC: upload 8 photos → reveal hilarious front page.,24,45,5,13,Etsy; Shopify,etsy_magazine; etsy_newspaper; etsy_storybooks,80,88,98,97,97,87,80,100,60,82,50,98,10,8,30,20,
custom-memory-boardgame,Premium Custom Family Board Game,people_to_game,"Generate a board-game-like family journey using milestones, locations, photos and trivia; avoid copying protected game brands/layouts.",Sep 15–Dec 24; digital variants extend to Dec 24,High AOV + high perceived design labor.,Validate digital/printable board first; physical only after supplier sample.,69,179,22,60,Etsy; Shopify,etsy_boardgame; etsy_10k,88,88,96,99,100,66,55,78,60,82,50,87,28,20,50,42,do not imitate Monopoly/Guess Who/UNO trademarks/trade dress; complex physical fulfillment
star-map-nextgen,Next-gen Date+Place Memory Map,data_to_keepsake,Use the proven date/place keepsake formula but combine sky/moon/weather/map + a user-provided memory instead of selling another commodity star map.,Sep 15–Dec 24; digital variants extend to Dec 24,"Only worth testing as a composite narrative artifact, never as plain star map.",“The night we met” data story: map + sky + weather + 100-word memory.,24,69,5,20,Etsy; Shopify,etsy_starmap; etsy_10k,98,88,82,72,95,83,80,78,60,82,50,35,10,20,30,25,base star-map market is heavily saturated; astronomical/weather facts must be sourced
personalized-client-gift-report,B2B Client “Year Together” Book,memory_to_artifact,Agency/account manager uploads project highlights/screenshots/results; AI creates a client yearbook/thank-you artifact.,Sep 15–Dec 24; digital variants extend to Dec 24,$100–$500 is tiny relative to account value; repeat annually across every client.,Target agencies/accountants/recruiters/consultancies with 20+ client relationships.,99,499,20,80,Shopify; Direct B2B,lulu_personalized; prodigi_api,68,88,100,100,94,87,80,78,100,40,100,100,10,35,42,20,confidential client data; require authorization and private processing
retirement-career-book,Career / Retirement Tribute Book,memory_to_artifact,"Colleagues submit memories, photos, milestones and messages; AI structures a career timeline and tribute book.",Sep 15–Dec 24; digital variants extend to Dec 24,Group contribution loop + high emotional stakes; cost tiny versus retirement event.,HR/office managers + direct consumer landing page.,79,249,18,55,Etsy; Shopify,lulu_personalized; etsy_10k,76,88,75,100,100,82,80,96,60,82,50,96,10,30,36,20,
personalized-corporate-crackers,Corporate Personalized Crackers / Table Awards,occasion_bundle,"Company party crackers with employee-specific safe jokes, awards, trivia and QR recap pages.",Sep 15–Dec 24; digital variants extend to Dec 24,B2B budget anchor; personalized variable data scales better with AI than manual design.,Digital/print insert service first; outsource shells locally.,149,999,35,300,Shopify; Direct B2B,etsy_crackers; prodigi_api,62,88,100,100,90,75,80,98,60,35,50,100,10,38,45,20,workplace content moderation essential; physical cracker logistics/compliance
personalized-memorial-book,Memorial Memory Book from Group Contributions,memory_to_artifact,Private contribution link collects memories/photos; AI organizes a respectful memorial book and optional QR audio archive.,Evergreen; not primarily Q4,High-value evergreen adjacent niche; not a Q4 lead but strong engine reuse.,Keep separate brand/landing page from whimsical Christmas products.,79,249,18,55,Etsy; Shopify,lulu_personalized; etsy_10k,72,88,45,100,96,82,80,65,60,82,50,96,10,55,50,20,high sensitivity; require human review and restrained language; do not fabricate voice/text from deceased person
