country,niche,query,intent,status
NO,restaurant/hospitality display hardware,qr kode holder bord,b2b,seed_validate_with_keyword_provider
NO,restaurant/hospitality display hardware,regningsholder restaurant,b2b,seed_validate_with_keyword_provider
NO,acoustic/slat wall panels,akustikkpanel vegg,consumer,seed_validate_with_keyword_provider
NO,acoustic/slat wall panels,spilepanel akustikk,consumer,seed_validate_with_keyword_provider
NO,acoustic/slat wall panels,akustikkpanel eik,consumer,seed_validate_with_keyword_provider
NO,acoustic/slat wall panels,spilevegg eik,consumer,seed_validate_with_keyword_provider
NO,acoustic/slat wall panels,lyddempende veggpanel,consumer,seed_validate_with_keyword_provider
NO,acoustic/slat wall panels,akustikkpanel kontor,b2b,seed_validate_with_keyword_provider
NO,garden/privacy hardware,levegg balkong,consumer,seed_validate_with_keyword_provider
NO,garden/privacy hardware,plantekasse med levegg,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,messing greb køkken,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,køkkengreb messing,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,børstet messing greb,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,messing knopper skab,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,knopper køkken messing,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,sorte køkkengreb,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,møbelgreb messing,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,skabsgreb messing,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,messing vægkrog,consumer,seed_validate_with_keyword_provider
DK,architectural/kitchen hardware,design greb køkken,consumer,seed_validate_with_keyword_provider
DK,rechargeable hospitality/table lighting,genopladelig bordlampe,consumer,seed_validate_with_keyword_provider
DK,rechargeable hospitality/table lighting,trådløs bordlampe genopladelig,consumer,seed_validate_with_keyword_provider
DK,rechargeable hospitality/table lighting,batteridrevet bordlampe,consumer,seed_validate_with_keyword_provider
DK,rechargeable hospitality/table lighting,genopladelig restaurant lampe,b2b,seed_validate_with_keyword_provider
DK,rechargeable hospitality/table lighting,bordlampe restaurant trådløs,b2b,seed_validate_with_keyword_provider
DK,rechargeable hospitality/table lighting,genopladelige bordlamper restaurant,b2b,seed_validate_with_keyword_provider
DK,rechargeable hospitality/table lighting,genopladelig lampe messing,consumer,seed_validate_with_keyword_provider
DK,rechargeable hospitality/table lighting,genopladelig udendørs bordlampe,consumer,seed_validate_with_keyword_provider
DK,restaurant/hospitality display hardware,menukortholder restaurant,b2b,seed_validate_with_keyword_provider
DK,restaurant/hospitality display hardware,menuholder bord,b2b,seed_validate_with_keyword_provider
DK,restaurant/hospitality display hardware,bordskilt restaurant,b2b,seed_validate_with_keyword_provider
DK,restaurant/hospitality display hardware,reserveret skilt bord,b2b,seed_validate_with_keyword_provider
DK,restaurant/hospitality display hardware,qr kode holder bord,b2b,seed_validate_with_keyword_provider
DK,restaurant/hospitality display hardware,regningsholder restaurant,b2b,seed_validate_with_keyword_provider
DK,acoustic/slat wall panels,akustikpanel væg,consumer,seed_validate_with_keyword_provider
DK,acoustic/slat wall panels,lamelpanel akustik,consumer,seed_validate_with_keyword_provider
DK,acoustic/slat wall panels,akustikpanel eg,consumer,seed_validate_with_keyword_provider
DK,acoustic/slat wall panels,lamelvæg eg,consumer,seed_validate_with_keyword_provider
DK,acoustic/slat wall panels,lyddæmpende vægpanel,consumer,seed_validate_with_keyword_provider
DK,acoustic/slat wall panels,akustikpanel kontor,b2b,seed_validate_with_keyword_provider
DK,garden/privacy hardware,afskærmning altan,consumer,seed_validate_with_keyword_provider
DK,garden/privacy hardware,plantekasse med afskærmning,consumer,seed_validate_with_keyword_provider
