country,niche,product_name,competitor_price_local,supplier_price_usd_low,supplier_price_usd_high,supplier_moq,match_quality,competitor_source,supplier_source,monthly_searches,cpc_local,assumed_cvr,merchant_count,dominant_merchant_share,creative_gap,title_gap,b2b_multiplier,bundle_multiplier,regulated_risk,fragility_risk,bulky_risk,expected_return_rate,estimated_delivery_days,has_local_payment,has_local_return_address,landed_cost_local,target_price_local,expected_units_per_order,notes
DK,rechargeable hospitality/table lighting,"Duni Zelda rechargeable table lamp, brass",1299,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1900,4.32,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,111,1195.08,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,architectural/kitchen hardware,Siena kitchen handle,55,0.45,6.75,2,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,350,2.1,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,5,1,0,12,50.6,8,Live DK handle price and live Alibaba brass-hardware category quotes. Exact material/finish must be matched manually. Search/CPC/landed cost are DEMO assumptions.
DK,architectural/kitchen hardware,Conti cup handle,67,0.45,6.75,2,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,430,2.2,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,5,1,0,15,61.64,8,Live DK handle price and live Alibaba brass-hardware category quotes. Exact material/finish must be matched manually. Search/CPC/landed cost are DEMO assumptions.
DK,architectural/kitchen hardware,Positano kitchen handle,72,0.45,6.75,2,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,510,2.3000000000000003,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,5,1,0,18,66.24,8,Live DK handle price and live Alibaba brass-hardware category quotes. Exact material/finish must be matched manually. Search/CPC/landed cost are DEMO assumptions.
DK,architectural/kitchen hardware,"Barga kitchen handle, matte brass",49,0.45,6.75,2,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,590,2.4000000000000004,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,5,1,0,21,45.08,8,Live DK handle price and live Alibaba brass-hardware category quotes. Exact material/finish must be matched manually. Search/CPC/landed cost are DEMO assumptions.
DK,architectural/kitchen hardware,"Sala kitchen handle, matte brass",65,0.45,6.75,2,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,670,2.5,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,5,1,0,24,59.8,8,Live DK handle price and live Alibaba brass-hardware category quotes. Exact material/finish must be matched manually. Search/CPC/landed cost are DEMO assumptions.
DK,architectural/kitchen hardware,"Venosa handle, matte brass",69,0.45,6.75,2,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,750,2.6,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,5,1,0,27,63.48,8,Live DK handle price and live Alibaba brass-hardware category quotes. Exact material/finish must be matched manually. Search/CPC/landed cost are DEMO assumptions.
DK,restaurant/hospitality display hardware,Securit Y-shaped A6 clear acrylic menu holder,95.2,0.36,7.0,1,category/near-match only,https://www.grafical.dk/menuholder/,https://www.alibaba.com/wholesale/acrylic-menu-stand.html,120,1.8,0.028,8,0.25,0.55,0.55,1.0,0.95,0.02,0.1,0.05,0.06,5,1,0,10,87.58,4,Live Danish hospitality display price and live Alibaba menu-holder quotes. High multi-unit potential. Search/CPC/landed cost are DEMO assumptions.
DK,restaurant/hospitality display hardware,Nobo A4 sign frame on stand,735.2,0.36,7.0,1,category/near-match only,https://www.grafical.dk/menuholder/,https://www.alibaba.com/wholesale/acrylic-menu-stand.html,170,1.95,0.028,8,0.25,0.55,0.55,1.0,0.95,0.02,0.1,0.05,0.06,5,1,0,20,676.38,4,Live Danish hospitality display price and live Alibaba menu-holder quotes. High multi-unit potential. Search/CPC/landed cost are DEMO assumptions.
DK,restaurant/hospitality display hardware,Securit MICHELLE black table lamp with board,495.2,0.36,7.0,1,category/near-match only,https://www.grafical.dk/menuholder/,https://www.alibaba.com/wholesale/acrylic-menu-stand.html,220,2.1,0.028,8,0.25,0.55,0.55,1.0,0.95,0.02,0.1,0.05,0.06,5,1,0,30,455.58,4,Live Danish hospitality display price and live Alibaba menu-holder quotes. High multi-unit potential. Search/CPC/landed cost are DEMO assumptions.
DK,restaurant/hospitality display hardware,A7 wooden menu/info holder,59.0,0.36,7.0,1,category/near-match only,https://displayshop.dk/shop/menu-info-holder-a6-53c1.html,https://www.alibaba.com/wholesale/acrylic-menu-stand.html,270,2.25,0.028,8,0.25,0.55,0.55,1.0,0.95,0.02,0.1,0.05,0.06,5,1,0,40,54.28,4,Live Danish hospitality display price and live Alibaba menu-holder quotes. High multi-unit potential. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,Timo rechargeable outdoor table lamp,150,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,450,5.2,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,85,138.0,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,Northlight rechargeable LED desk lamp,480,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,550,5.32,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,91,441.6,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,"Frida rechargeable table lamp, beige",600,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,650,5.44,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,97,552.0,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,LUTEC NOMA rechargeable table lamp 2-pack,549,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,750,5.5600000000000005,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,103,505.08,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,"Hygge rechargeable table lamp, antique",1099,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,850,5.68,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,109,1011.08,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,"Modi rechargeable table lamp, red",1335,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,950,5.8,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,115,1228.2,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,"Joe rechargeable table lamp, 3W LED",2049,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1050,5.92,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,121,1885.08,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,"Joy rechargeable table lamp, turquoise",1062,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1150,6.04,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,127,977.04,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,"Halo Design Question rechargeable table lamp, black/brass",1315,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1250,6.16,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,133,1209.8,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,rechargeable hospitality/table lighting,"Nielsen Light Bistro rechargeable table lamp, green",571,1.89,12.9,2,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1350,6.28,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,7,1,0,139,525.32,1.5,Live NO retail observation and live Alibaba category quotes. Electrical/battery product: compliance + VOEC/import treatment are hard gates. Search/CPC/landed cost are DEMO assumptions.
NO,architectural/kitchen hardware,Beslag Design 0143-192 brushed brass handle,146,0.45,6.75,2,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,300,3.5,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,6,1,0,22,134.32,8,Live NO retail price and live Alibaba hardware category quotes. Exact material/finish/CC spacing must be matched manually. Search/CPC/landed cost are DEMO assumptions.
NO,architectural/kitchen hardware,Beslag Design Bella 160 brushed brass handle,118,0.45,6.75,2,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,370,3.62,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,6,1,0,26,108.56,8,Live NO retail price and live Alibaba hardware category quotes. Exact material/finish/CC spacing must be matched manually. Search/CPC/landed cost are DEMO assumptions.
NO,architectural/kitchen hardware,Beslag Design Bror 160 brushed brass handle,66,0.45,6.75,2,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,440,3.74,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,6,1,0,30,60.72,8,Live NO retail price and live Alibaba hardware category quotes. Exact material/finish/CC spacing must be matched manually. Search/CPC/landed cost are DEMO assumptions.
NO,architectural/kitchen hardware,Beslag Design Profile 40mm brushed brass handle,53,0.45,6.75,2,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,510,3.86,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,6,1,0,34,48.76,8,Live NO retail price and live Alibaba hardware category quotes. Exact material/finish/CC spacing must be matched manually. Search/CPC/landed cost are DEMO assumptions.
NO,architectural/kitchen hardware,Beslag Design Lounge 160 brushed brass handle,209,0.45,6.75,2,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,580,3.98,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,6,1,0,38,192.28,8,Live NO retail price and live Alibaba hardware category quotes. Exact material/finish/CC spacing must be matched manually. Search/CPC/landed cost are DEMO assumptions.
NO,architectural/kitchen hardware,Beslag Design Profile 160mm brushed brass handle,104,0.45,6.75,2,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,650,4.1,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,6,1,0,42,95.68,8,Live NO retail price and live Alibaba hardware category quotes. Exact material/finish/CC spacing must be matched manually. Search/CPC/landed cost are DEMO assumptions.
NO,architectural/kitchen hardware,Beslagsboden B54 antique brass drawer handle 96mm,37,0.45,6.75,2,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,720,4.22,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,6,1,0,46,34.04,8,Live NO retail price and live Alibaba hardware category quotes. Exact material/finish/CC spacing must be matched manually. Search/CPC/landed cost are DEMO assumptions.
NO,architectural/kitchen hardware,Tapwell Bean 037 brass knob,295,0.45,6.75,2,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,790,4.34,0.03,8,0.25,0.55,0.55,0.8,1.0,0.05,0.02,0.05,0.06,6,1,0,50,271.4,8,Live NO retail price and live Alibaba hardware category quotes. Exact material/finish/CC spacing must be matched manually. Search/CPC/landed cost are DEMO assumptions.
NO,acoustic/slat wall panels,Spilepanel Ro acoustic panel 21x600x2400 oak veneer,1179,5.01,15.0,2,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,700,6.0,0.024,8,0.25,0.55,0.55,0.9,0.9,0.15,0.15,0.85,0.06,8,1,0,210,1084.68,3,Live NO panel price and live Alibaba wood-slat acoustic-panel category quotes. Bulky freight is the core risk; EU/Nordic warehouse sourcing is preferable. Search/CPC/landed cost are DEMO assumptions.
NO,acoustic/slat wall panels,Lind acoustic panel 2390x600x19 oak,1999,5.01,15.0,2,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,850,6.2,0.024,8,0.25,0.55,0.55,0.9,0.9,0.15,0.15,0.85,0.06,8,1,0,228,1839.08,3,Live NO panel price and live Alibaba wood-slat acoustic-panel category quotes. Bulky freight is the core risk; EU/Nordic warehouse sourcing is preferable. Search/CPC/landed cost are DEMO assumptions.
NO,acoustic/slat wall panels,Opus acoustic panel 600x2400 light,1299,5.01,15.0,2,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,1000,6.4,0.024,8,0.25,0.55,0.55,0.9,0.9,0.15,0.15,0.85,0.06,8,1,0,246,1195.08,3,Live NO panel price and live Alibaba wood-slat acoustic-panel category quotes. Bulky freight is the core risk; EU/Nordic warehouse sourcing is preferable. Search/CPC/landed cost are DEMO assumptions.
NO,acoustic/slat wall panels,Fibrotech Quanti light oak acoustic panel,599,5.01,15.0,2,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,1150,6.6,0.024,8,0.25,0.55,0.55,0.9,0.9,0.15,0.15,0.85,0.06,8,1,0,264,551.08,3,Live NO panel price and live Alibaba wood-slat acoustic-panel category quotes. Bulky freight is the core risk; EU/Nordic warehouse sourcing is preferable. Search/CPC/landed cost are DEMO assumptions.
NO,acoustic/slat wall panels,Fibrotech Square black oak acoustic panel 2-pack,400,5.01,15.0,2,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,1300,6.8,0.024,8,0.25,0.55,0.55,0.9,0.9,0.15,0.15,0.85,0.06,8,1,0,282,368.0,3,Live NO panel price and live Alibaba wood-slat acoustic-panel category quotes. Bulky freight is the core risk; EU/Nordic warehouse sourcing is preferable. Search/CPC/landed cost are DEMO assumptions.
NO,acoustic/slat wall panels,Fibrotech Square light oak acoustic panel 2-pack,399,5.01,15.0,2,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,1450,7.0,0.024,8,0.25,0.55,0.55,0.9,0.9,0.15,0.15,0.85,0.06,8,1,0,300,367.08,3,Live NO panel price and live Alibaba wood-slat acoustic-panel category quotes. Bulky freight is the core risk; EU/Nordic warehouse sourcing is preferable. Search/CPC/landed cost are DEMO assumptions.
NO,acoustic/slat wall panels,Fibrotech acoustic panel 244 light oak,974,5.01,15.0,2,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,1600,7.2,0.024,8,0.25,0.55,0.55,0.9,0.9,0.15,0.15,0.85,0.06,8,1,0,318,896.08,3,Live NO panel price and live Alibaba wood-slat acoustic-panel category quotes. Bulky freight is the core risk; EU/Nordic warehouse sourcing is preferable. Search/CPC/landed cost are DEMO assumptions.
